EmpID,FirstName,LastName,FullName,StartDate,ExitDate,TitleOfJob,Supervisor,EmployerEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,CurrentEmployeeRating
3433,Latia,Costa,Latia Costa,04-06-2022,07-03-2023,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,07-01-1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4
3434,Sharlene,Terry,Sharlene Terry,11-06-2020,1-29-2023,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,03-07-1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2
3436,Joseph,Martins,Joseph Martins,1-21-2022,6-29-2023,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11-11-1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5
3438,Dheepa,Nguyen,Dheepa Nguyen,08-10-2018,11-04-2019,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,04-06-1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3
3439,Bartholemew,Khemmich,Bartholemew Khemmich,5-25-2022,11-27-2022,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,11-24-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3
3440,Xana,Potts,Xana Potts,12-05-2019,2-17-2023,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,11-06-1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3
3442,Kaylah,Moon,Kaylah Moon,07-09-2019,6-16-2022,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,11-24-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2
3443,Kristen,Tate,Kristen Tate,04-05-2021,05-12-2023,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,04-08-1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3
3444,Bobby,Rodgers,Bobby Rodgers,11-28-2021,02-04-2022,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,11-15-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3
3447,Mariela,Schultz,Mariela Schultz,5-26-2020,6-18-2023,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,2-17-1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3
3448,Angela,Molina,Angela Molina,10-01-2019,11-06-2020,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,05-12-1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3
3449,Gerald,Preston,Gerald Preston,05-10-2023,5-27-2023,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,9-18-1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5
3450,Reilly,Moyer,Reilly Moyer,09-01-2020,12-04-2022,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,08-11-1994,CO,Operator,Male,11765,Other,Single,Exceeds,2
3451,Carlee,French,Carlee French,2-18-2021,11-11-2022,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,1-15-1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3
3455,Charity,Miranda,Charity Miranda,6-29-2021,07-05-2022,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,1-18-1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4
3458,Cory,Robinson,Cory Robinson,4-28-2022,5-24-2023,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,08-12-1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3
